time_,pos,neg
2021-07-09 03:25:00,1,0
2021-07-09 03:25:30,2,0
2021-07-09 03:26:00,1,1
2021-07-09 03:26:30,3,0
2021-07-09 03:27:00,4,3
2021-07-09 03:27:30,0,0
2021-07-09 03:28:00,1,1
2021-07-09 03:28:30,0,0
2021-07-09 03:29:30,1,0
2021-07-09 03:30:00,2,2
2021-07-09 03:30:30,0,1
2021-07-09 03:31:00,0,1
2021-07-09 03:31:30,0,1
2021-07-09 03:32:00,1,2
2021-07-09 03:32:30,0,0
2021-07-09 03:33:00,2,2
2021-07-09 03:33:30,0,1
2021-07-09 03:34:00,0,0
2021-07-09 03:34:30,3,0
2021-07-09 03:35:00,6,0
2021-07-09 03:36:00,4,1
2021-07-09 03:36:30,2,0
2021-07-09 03:37:00,2,2
2021-07-09 03:37:30,4,0
2021-07-09 03:38:00,2,0
2021-07-09 03:38:30,1,0
2021-07-09 03:39:00,3,1
2021-07-09 03:39:30,10,2
2021-07-09 03:40:00,4,0
2021-07-09 03:40:30,3,0
2021-07-09 03:41:00,1,0
2021-07-09 03:41:30,2,0
2021-07-09 03:42:00,5,5
2021-07-09 03:42:30,1,1
2021-07-09 03:43:00,0,0
2021-07-09 03:43:30,0,0
2021-07-09 03:44:00,0,1
2021-07-09 03:44:30,2,0
2021-07-09 03:45:00,4,1
2021-07-09 03:45:30,0,1
2021-07-09 03:46:00,2,3
2021-07-09 03:46:30,0,1
2021-07-09 03:47:00,7,5
2021-07-09 03:47:30,4,0
2021-07-09 03:48:00,2,0
2021-07-09 03:48:30,2,0
2021-07-09 03:49:00,3,1
2021-07-09 03:49:30,4,1
2021-07-09 03:50:00,3,0
2021-07-09 03:50:30,1,1
2021-07-09 03:51:00,2,1
2021-07-09 03:51:30,1,0
2021-07-09 03:52:00,1,1
2021-07-09 03:52:30,3,0
2021-07-09 03:53:00,2,1
2021-07-09 03:53:30,3,2
2021-07-09 03:54:00,1,0
2021-07-09 03:54:30,0,0
2021-07-09 03:55:00,2,0
2021-07-09 03:55:30,1,0
2021-07-09 03:56:00,1,0
2021-07-09 03:56:30,6,1
2021-07-09 03:57:00,0,0
2021-07-09 03:58:00,0,2
2021-07-09 03:58:30,1,0
2021-07-09 03:59:00,0,0
2021-07-09 03:59:30,1,0
2021-07-09 04:00:00,1,2
2021-07-09 04:00:30,2,0
2021-07-09 04:01:00,3,0
2021-07-09 04:01:30,0,1
2021-07-09 04:02:00,2,0
2021-07-09 04:02:30,3,1
2021-07-09 04:03:00,1,1
2021-07-09 04:03:30,3,0
2021-07-09 04:04:00,1,0
2021-07-09 04:04:30,3,1
2021-07-09 04:05:00,4,0
2021-07-09 04:05:30,0,2
2021-07-09 04:06:00,3,0
2021-07-09 04:06:30,3,0
2021-07-09 04:07:00,2,1
2021-07-09 04:07:30,1,1
2021-07-09 04:08:00,3,1
2021-07-09 04:08:30,1,0
2021-07-09 04:09:00,0,0
2021-07-09 04:09:30,0,0
2021-07-09 04:10:00,2,2
2021-07-09 04:10:30,0,0
2021-07-09 04:11:00,3,0
2021-07-09 04:11:30,4,0
2021-07-09 04:12:00,0,2
2021-07-09 04:12:30,1,1
2021-07-09 04:13:00,1,1
2021-07-09 04:13:30,6,0
2021-07-09 04:14:00,2,0
2021-07-09 04:14:30,1,1
2021-07-09 04:15:00,1,1
2021-07-09 04:15:30,1,1
2021-07-09 04:16:00,2,1
2021-07-09 04:16:30,0,1
2021-07-09 04:17:00,0,2
2021-07-09 04:17:30,1,0
2021-07-09 04:18:00,2,1
2021-07-09 04:18:30,3,0
2021-07-09 04:19:00,1,0
2021-07-09 04:19:30,1,2
2021-07-09 04:20:00,0,1
2021-07-09 04:20:30,1,0
2021-07-09 04:21:00,1,2
2021-07-09 04:21:30,0,0
2021-07-09 04:22:00,4,1
2021-07-09 04:22:30,2,0
2021-07-09 04:23:00,1,0
2021-07-09 04:23:30,1,1
2021-07-09 04:24:00,3,1
2021-07-09 04:24:30,2,1
2021-07-09 04:25:00,1,0
2021-07-09 04:25:30,2,1
2021-07-09 04:26:00,0,0
2021-07-09 04:26:30,1,0
2021-07-09 04:27:00,3,0
2021-07-09 04:27:30,0,2
2021-07-09 04:28:00,0,1
2021-07-09 04:28:30,1,0
2021-07-09 04:29:00,0,1
2021-07-09 04:29:30,2,1
2021-07-09 04:30:00,1,0
2021-07-09 04:30:30,2,1
2021-07-09 04:31:00,2,0
2021-07-09 04:31:30,3,0
2021-07-09 04:32:00,1,2
2021-07-09 04:33:00,1,0
2021-07-09 04:33:30,0,0
2021-07-09 04:34:00,1,0
2021-07-09 04:34:30,1,0
2021-07-09 04:35:00,2,0
2021-07-09 04:35:30,0,0
2021-07-09 04:36:00,1,2
2021-07-09 04:36:30,0,0
2021-07-09 04:37:00,1,1
2021-07-09 04:37:30,5,1
2021-07-09 04:38:00,0,1
2021-07-09 04:39:00,1,2
2021-07-09 04:39:30,1,1
2021-07-09 04:40:00,2,0
2021-07-09 04:40:30,0,1
2021-07-09 04:41:00,0,1
2021-07-09 04:41:30,2,2
2021-07-09 04:42:00,1,2
2021-07-09 04:42:30,0,1
2021-07-09 04:43:00,0,0
2021-07-09 04:43:30,1,1
2021-07-09 04:44:00,1,0
2021-07-09 04:44:30,1,0
2021-07-09 04:45:00,0,0
2021-07-09 04:45:30,2,0
2021-07-09 04:46:00,1,1
2021-07-09 04:46:30,1,1
2021-07-09 04:47:00,1,0
2021-07-09 04:47:30,0,0
2021-07-09 04:48:00,2,0
2021-07-09 04:48:30,1,0
2021-07-09 04:49:00,0,2
2021-07-09 04:49:30,1,1
2021-07-09 04:50:00,0,2
2021-07-09 04:50:30,1,0
2021-07-09 04:51:00,1,1
2021-07-09 04:51:30,1,2
2021-07-09 04:52:00,0,0
2021-07-09 04:52:30,1,0
2021-07-09 04:53:00,1,1
2021-07-09 04:53:30,0,0
2021-07-09 04:54:00,0,2
2021-07-09 04:54:30,1,0
2021-07-09 04:55:00,0,0
2021-07-09 04:55:30,1,0
2021-07-09 04:56:00,1,1
2021-07-09 04:56:30,2,1
2021-07-09 04:57:00,1,0
2021-07-09 04:57:30,3,0
2021-07-09 04:58:00,3,0
2021-07-09 04:58:30,0,0
2021-07-09 04:59:00,1,0
2021-07-09 04:59:30,4,1
2021-07-09 05:00:00,4,4
2021-07-09 05:00:30,2,1
2021-07-09 05:01:00,1,1
2021-07-09 05:01:30,2,2
2021-07-09 05:02:00,5,0
2021-07-09 05:02:30,1,1
2021-07-09 05:03:00,4,0
2021-07-09 05:03:30,1,1
2021-07-09 05:04:00,3,0
2021-07-09 05:04:30,1,0
2021-07-09 05:05:00,1,0
2021-07-09 05:05:30,3,1
2021-07-09 05:06:00,3,1
2021-07-09 05:06:30,2,0
2021-07-09 05:07:00,0,1
2021-07-09 05:07:30,1,1
2021-07-09 05:08:00,2,0
2021-07-09 05:08:30,2,0
2021-07-09 05:09:00,3,2
2021-07-09 05:09:30,1,0
2021-07-09 05:10:00,2,0
2021-07-09 05:10:30,2,0
2021-07-09 05:11:00,3,0
2021-07-09 05:11:30,1,1
2021-07-09 05:12:00,0,0
2021-07-09 05:12:30,0,1
2021-07-09 05:13:00,2,2
2021-07-09 05:13:30,1,0
2021-07-09 05:14:00,0,0
2021-07-09 05:15:00,4,2
2021-07-09 05:15:30,1,0
2021-07-09 05:16:00,4,0
2021-07-09 05:16:30,2,0
2021-07-09 05:17:00,1,1
2021-07-09 05:17:30,2,0
2021-07-09 05:18:00,1,0
2021-07-09 05:18:30,3,1
2021-07-09 05:19:00,0,0
2021-07-09 05:20:00,0,0
2021-07-09 05:20:30,3,1
2021-07-09 05:21:00,5,1
2021-07-09 05:21:30,1,1
2021-07-09 05:22:00,1,0
2021-07-09 05:22:30,1,1
2021-07-09 05:23:00,2,0
2021-07-09 05:23:30,0,1
2021-07-09 05:24:00,0,1
2021-07-09 05:24:30,1,2
2021-07-09 05:25:00,2,1
2021-07-09 05:25:30,0,0
2021-07-09 05:26:00,0,0
2021-07-09 05:26:30,2,2
2021-07-09 05:27:00,1,0
2021-07-09 05:27:30,1,1
2021-07-09 05:28:00,0,1
2021-07-09 05:28:30,1,1
2021-07-09 05:29:00,1,1
2021-07-09 05:29:30,1,1
2021-07-09 05:30:00,1,0
2021-07-09 05:30:30,2,0
2021-07-09 05:31:00,4,0
2021-07-09 05:31:30,0,1
2021-07-09 05:32:00,0,0
2021-07-09 05:32:30,3,0
2021-07-09 05:33:00,0,0
2021-07-09 05:33:30,0,0
2021-07-09 05:34:00,1,0
2021-07-09 05:34:30,4,0
2021-07-09 05:35:00,2,0
2021-07-09 05:35:30,0,0
2021-07-09 05:36:00,2,0
2021-07-09 05:36:30,0,0
2021-07-09 05:37:00,3,0
2021-07-09 05:37:30,1,0
2021-07-09 05:38:00,2,0
2021-07-09 05:38:30,1,0
2021-07-09 05:39:00,0,0
2021-07-09 05:39:30,0,0
2021-07-09 05:40:00,3,2
2021-07-09 05:40:30,3,0
2021-07-09 05:41:00,3,1
2021-07-09 05:41:30,0,2
2021-07-09 05:42:00,2,0
2021-07-09 05:42:30,0,0
2021-07-09 05:43:00,1,2
2021-07-09 05:43:30,3,0
2021-07-09 05:44:00,2,0
2021-07-09 05:44:30,0,1
2021-07-09 05:45:00,0,1
2021-07-09 05:45:30,3,1
2021-07-09 05:46:00,0,1
2021-07-09 05:46:30,2,0
2021-07-09 05:47:00,3,2
2021-07-09 05:47:30,0,0
2021-07-09 05:48:00,0,1
2021-07-09 05:48:30,1,1
2021-07-09 05:49:00,2,0
2021-07-09 05:49:30,2,0
2021-07-09 05:50:00,2,1
2021-07-09 05:50:30,1,0
2021-07-09 05:51:00,1,0
2021-07-09 05:51:30,1,0
2021-07-09 05:52:00,2,1
2021-07-09 05:52:30,0,1
2021-07-09 05:53:00,0,0
2021-07-09 05:53:30,0,0
2021-07-09 05:54:00,0,1
2021-07-09 05:54:30,2,1
2021-07-09 05:55:00,1,0
2021-07-09 05:55:30,4,0
2021-07-09 05:56:00,1,0
2021-07-09 05:56:30,1,0
2021-07-09 05:57:00,1,2
2021-07-09 05:57:30,1,0
2021-07-09 05:58:00,0,0
2021-07-09 05:58:30,0,1
2021-07-09 05:59:00,4,3
2021-07-09 05:59:30,2,0
2021-07-09 06:00:00,4,2
2021-07-09 06:00:30,0,0
2021-07-09 06:01:00,1,2
2021-07-09 06:01:30,1,2
2021-07-09 06:02:00,3,1
2021-07-09 06:02:30,0,2
2021-07-09 06:03:00,1,0
2021-07-09 06:03:30,0,0
2021-07-09 06:04:00,3,0
2021-07-09 06:04:30,0,1
2021-07-09 06:05:00,2,0
2021-07-09 06:05:30,2,0
2021-07-09 06:06:00,1,0
2021-07-09 06:06:30,3,0
2021-07-09 06:07:00,3,0
2021-07-09 06:07:30,0,0
2021-07-09 06:08:00,2,0
2021-07-09 06:08:30,2,0
2021-07-09 06:09:00,0,2
2021-07-09 06:09:30,3,1
2021-07-09 06:10:00,3,0
2021-07-09 06:10:30,3,1
2021-07-09 06:11:00,2,0
2021-07-09 06:11:30,0,1
2021-07-09 06:12:00,1,3
2021-07-09 06:12:30,0,2
2021-07-09 06:13:00,2,2
2021-07-09 06:13:30,0,0
2021-07-09 06:14:00,3,0
2021-07-09 06:14:30,2,2
2021-07-09 06:15:00,2,1
2021-07-09 06:15:30,0,1
2021-07-09 06:16:00,4,0
2021-07-09 06:16:30,1,1
2021-07-09 06:17:00,1,0
2021-07-09 06:18:00,2,0
2021-07-09 06:18:30,1,1
2021-07-09 06:19:00,1,0
2021-07-09 06:19:30,0,0
2021-07-09 06:20:00,2,0
2021-07-09 06:20:30,0,1
2021-07-09 06:21:00,1,0
2021-07-09 06:21:30,0,1
2021-07-09 06:22:00,0,0
2021-07-09 06:22:30,2,0
2021-07-09 06:23:00,2,0
2021-07-09 06:23:30,4,0
2021-07-09 06:24:00,0,0
2021-07-09 06:24:30,2,0
2021-07-09 06:25:00,2,1
2021-07-09 06:25:30,0,1
2021-07-09 06:26:00,2,2
2021-07-09 06:26:30,0,0
2021-07-09 06:27:00,1,0
2021-07-09 06:27:30,2,2
2021-07-09 06:28:00,3,0
2021-07-09 06:28:30,0,1
2021-07-09 06:29:00,3,2
2021-07-09 06:29:30,0,0
2021-07-09 06:30:00,1,0
2021-07-09 06:30:30,1,0
2021-07-09 06:31:00,0,0
2021-07-09 06:31:30,2,0
2021-07-09 06:32:00,1,0
2021-07-09 06:32:30,0,1
2021-07-09 06:33:00,5,2
2021-07-09 06:33:30,0,0
2021-07-09 06:34:00,1,0
2021-07-09 06:34:30,0,0
2021-07-09 06:35:00,0,1
2021-07-09 06:35:30,1,0
2021-07-09 06:36:00,2,0
2021-07-09 06:36:30,0,1
2021-07-09 06:37:00,2,1
2021-07-09 06:37:30,4,3
2021-07-09 06:38:00,4,4
2021-07-09 06:38:30,4,1
2021-07-09 06:39:00,2,0
2021-07-09 06:39:30,2,1
2021-07-09 06:40:00,0,1
2021-07-09 06:40:30,0,0
2021-07-09 06:41:00,0,0
2021-07-09 06:41:30,1,0
2021-07-09 06:42:00,1,2
2021-07-09 06:42:30,3,0
2021-07-09 06:43:00,1,0
2021-07-09 06:43:30,1,2
2021-07-09 06:44:00,2,0
2021-07-09 06:44:30,0,1
2021-07-09 06:45:00,3,0
2021-07-09 06:45:30,0,1
2021-07-09 06:46:00,2,2
2021-07-09 06:46:30,1,0
2021-07-09 06:47:30,3,1
2021-07-09 06:48:00,0,0
2021-07-09 06:48:30,2,2
2021-07-09 06:49:00,3,1
2021-07-09 06:49:30,1,1
2021-07-09 06:50:00,1,4
2021-07-09 06:50:30,1,1
2021-07-09 06:51:00,0,0
2021-07-09 06:51:30,3,2
2021-07-09 06:52:00,0,0
2021-07-09 06:52:30,0,0
2021-07-09 06:53:00,1,0
2021-07-09 06:53:30,1,0
2021-07-09 06:54:00,3,0
2021-07-09 06:54:30,1,0
2021-07-09 06:55:00,0,0
2021-07-09 06:55:30,0,0
2021-07-09 06:56:00,5,0
